output_position,prior_input_days,prefix_tokens_including_current,direct_attention_tokens,raw_final_score,raw_rank_ic,raw_annual_excess,raw_one_minus_turnover,raw_mse,raw_mae,raw_icir,raw_ic_positive_ratio,raw_coverage,ewma_final_score,ewma_rank_ic,ewma_annual_excess,ewma_one_minus_turnover
0,32,33,33,0.3318701847539153,0.059794722448345015,0.1692352407750854,0.8572724118068389,2.2754609506604226,1.1375425800733203,0.5254506579476563,0.695852534562212,0.999659085278232,0.3379344598236114,0.04893414645328374,0.16525102285724583,0.8959516479504139
7,39,40,40,0.33603788066461737,0.060827007166676585,0.1772167804911958,0.8618068121686266,1.9393466371694106,1.0323441004829885,0.5425944454647053,0.695852534562212,0.999659085278232,0.33466066651156645,0.04977342378511101,0.14801504335088295,0.9011559466408572
15,47,48,48,0.3347374072962275,0.06187821525688788,0.17115655262680393,0.8621305180181038,1.710420162380403,0.9598615434209898,0.5647548550328246,0.6866359447004609,0.999659085278232,0.3384108759161081,0.050843321164236004,0.15497815921234206,0.9052669989557037
23,55,56,56,0.33668821712360847,0.06398941689975951,0.18110043685526528,0.855874397690417,1.5868548445412876,0.9214385718712497,0.6049400894334402,0.7188940092165899,0.999659085278232,0.3391875750921577,0.052857475915941116,0.1544588184521173,0.9056897973004869
31,63,64,64,0.3421080936468239,0.06647586911832877,0.20176746850953467,0.8499583514887733,1.4154702900485618,0.8659035416776816,0.6442823580656815,0.7142857142857143,0.999659085278232,0.3433011875022983,0.05482469495561763,0.16599943235773787,0.9052382660424332
47,79,80,64,0.34091512066843177,0.06646838852038492,0.19782929948101927,0.8499299180532401,1.3866321811747728,0.8573078873500715,0.6450298686182834,0.7142857142857143,0.999659085278232,0.3440769887533326,0.05482463141128457,0.16846510868955164,0.9053586786065108
63,95,96,64,0.34244684410461923,0.06652062574453901,0.20358765558076783,0.8492076571085777,1.3778372751309973,0.8548066771744043,0.6445950084607348,0.7142857142857143,0.999659085278232,0.3443280113561782,0.054883571327625,0.16896958638361897,0.9056123563668084
